water_year,oni_djf,oni_ond_prev,oni_ndj_prev,oni_winter,oni_peak,phase,strength
1950,-1.32,,,-1.26,-1.32,La Nina,moderate
1951,-0.66,-0.66,-0.79,-0.6033333333333334,-0.79,La Nina,weak
1952,0.52,0.96,0.71,0.5,0.96,El Nino,weak
1953,0.25,-0.11,0.06,0.27,0.5,Neutral,neutral
1954,0.41,0.52,0.56,0.43999999999999995,0.56,Neutral,neutral
1955,-0.5,-0.4,-0.44,-0.47333333333333333,-0.58,La Nina,weak
1956,-1.17,-1.59,-1.51,-1.1633333333333333,-1.59,La Nina,strong
1957,-0.27,-0.37,-0.39,-0.24,-0.39,Neutral,neutral
1958,1.69,1.39,1.62,1.6333333333333335,1.69,El Nino,strong
1959,0.6,0.36,0.56,0.6000000000000001,0.64,El Nino,weak
1960,0.02,0.23,0.14,0.06333333333333334,0.23,Neutral,neutral
1961,0.0,-0.07,-0.07,-0.013333333333333336,-0.07,Neutral,neutral
1962,-0.16,-0.11,-0.05,-0.12666666666666668,-0.17,Neutral,neutral
1963,-0.33,-0.25,-0.32,-0.2733333333333334,-0.33,Neutral,neutral
1964,0.95,1.19,1.13,0.8666666666666667,1.19,El Nino,moderate
1965,-0.51,-0.79,-0.75,-0.5033333333333333,-0.79,La Nina,weak
1966,1.24,1.82,1.6,1.2633333333333334,1.82,El Nino,strong
1967,-0.46,-0.23,-0.35,-0.43,-0.5,Neutral,neutral
1968,-0.62,-0.36,-0.42,-0.59,-0.73,La Nina,weak
1969,0.98,0.66,0.93,0.9633333333333334,0.98,El Nino,weak
1970,0.46,0.81,0.71,0.4666666666666666,0.81,Neutral,neutral
1971,-1.29,-0.78,-1.1,-1.25,-1.36,La Nina,moderate
1972,-0.57,-0.86,-0.78,-0.54,-0.86,La Nina,weak
1973,1.55,1.84,1.77,1.4833333333333334,1.84,El Nino,strong
1974,-1.87,-1.89,-2.04,-1.8333333333333333,-2.04,La Nina,very strong
1975,-0.56,-0.88,-0.71,-0.6066666666666667,-0.88,La Nina,weak
1976,-1.49,-1.47,-1.58,-1.3933333333333335,-1.58,La Nina,strong
1977,0.71,0.81,0.84,0.7366666666666667,0.84,El Nino,weak
1978,0.71,0.84,0.82,0.6833333333333332,0.84,El Nino,weak
1979,0.19,-0.07,0.11,0.17,0.29,Neutral,neutral
1980,0.62,0.5,0.64,0.5766666666666667,0.64,El Nino,weak
1981,-0.27,0.08,-0.05,-0.24666666666666667,-0.42,Neutral,neutral
1982,-0.05,-0.19,-0.14,-0.05666666666666667,-0.19,Neutral,neutral
1983,2.14,2.03,2.12,2.0566666666666666,2.14,El Nino,very strong
1984,-0.63,-0.96,-0.89,-0.6766666666666667,-0.96,La Nina,weak
1985,-1.01,-0.95,-1.06,-0.9766666666666667,-1.06,La Nina,moderate
1986,-0.4,-0.28,-0.36,-0.38000000000000006,-0.4,Neutral,neutral
1987,1.18,1.06,1.21,1.1733333333333331,1.21,El Nino,moderate
1988,0.63,1.2,1.0,0.6666666666666666,1.2,El Nino,moderate
1989,-1.64,-1.81,-1.85,-1.6233333333333333,-1.85,La Nina,strong
1990,0.18,-0.12,-0.04,0.10999999999999999,0.3,Neutral,neutral
1991,0.35,0.31,0.34,0.31666666666666665,0.35,Neutral,neutral
1992,1.54,1.18,1.43,1.49,1.54,El Nino,strong
1993,0.13,-0.24,-0.05,0.13,0.5,Neutral,neutral
1994,0.07,0.2,0.19,0.08666666666666667,0.2,Neutral,neutral
1995,0.88,0.93,0.97,0.8333333333333334,0.97,El Nino,weak
1996,-0.88,-1.05,-1.01,-0.8633333333333333,-1.05,La Nina,moderate
1997,-0.41,-0.39,-0.41,-0.36000000000000004,-0.41,Neutral,neutral
1998,2.22,2.34,2.37,2.1666666666666665,2.37,El Nino,very strong
1999,-1.51,-1.31,-1.47,-1.4100000000000001,-1.51,La Nina,strong
2000,-1.47,-1.35,-1.53,-1.42,-1.53,La Nina,strong
2001,-0.76,-0.76,-0.78,-0.6933333333333334,-0.78,La Nina,weak
2002,-0.15,-0.33,-0.32,-0.13333333333333333,-0.33,Neutral,neutral
2003,0.9,1.19,1.08,0.8566666666666666,1.19,El Nino,moderate
2004,0.34,0.29,0.29,0.3,0.34,Neutral,neutral
2005,0.62,0.64,0.71,0.6266666666666667,0.71,El Nino,weak
2006,-0.86,-0.57,-0.82,-0.8266666666666667,-0.86,La Nina,weak
2007,0.62,0.88,0.88,0.5633333333333334,0.88,El Nino,weak
2008,-1.76,-1.57,-1.72,-1.6966666666666665,-1.76,La Nina,strong
2009,-0.89,-0.57,-0.79,-0.84,-0.89,La Nina,weak
2010,1.47,1.31,1.5,1.3933333333333333,1.5,El Nino,strong
2011,-1.29,-1.57,-1.48,-1.2766666666666666,-1.57,La Nina,strong
2012,-0.71,-1.02,-0.92,-0.73,-1.02,La Nina,moderate
2013,-0.24,0.13,-0.03,-0.18333333333333335,-0.28,Neutral,neutral
2014,-0.24,-0.12,-0.11,-0.18666666666666665,-0.24,Neutral,neutral
2015,0.73,0.7,0.8,0.7266666666666667,0.8,El Nino,weak
2016,2.5,2.45,2.59,2.433333333333333,2.59,El Nino,very strong
2017,-0.08,-0.49,-0.37,-0.12333333333333334,-0.49,Neutral,neutral
2018,-0.71,-0.61,-0.76,-0.7133333333333334,-0.76,La Nina,weak
2019,0.99,1.04,1.05,0.9933333333333333,1.05,El Nino,moderate
2020,0.71,0.72,0.75,0.7066666666666667,0.75,El Nino,weak
2021,-0.99,-1.11,-1.06,-0.9666666666666667,-1.11,La Nina,moderate
2022,-0.76,-0.91,-0.83,-0.7566666666666667,-0.91,La Nina,weak
2023,-0.55,-0.82,-0.7,-0.5266666666666667,-0.82,La Nina,weak
2024,1.84,1.9,1.99,1.7866666666666668,1.99,El Nino,strong
2025,-0.46,-0.29,-0.43,-0.37000000000000005,-0.46,Neutral,neutral
2026,-0.39,-0.61,-0.6,-0.39999999999999997,-0.61,Neutral,neutral
