stationTriplet,in_snow_per_in_water
1011:WA:SNTL,4.9999999999999885
1014:CO:SNTL,9.999999999999986
1015:WY:SNTL,7.500000000000002
1016:ID:SNTL,6.666666666666667
1017:NM:SNTL,7.499999999999986
1030:CO:SNTL,8.000000000000002
1032:CO:SNTL,7.5000000000000275
1033:CO:SNTL,7.500000000000017
1035:AK:SNTL,9.999999999999998
1039:UT:SNTL,6.666666666666665
1040:CO:SNTL,9.999999999999986
1041:CO:SNTL,9.99999999999999
1042:CO:SNTL,6.6666666666666865
1045:WY:SNTL,9.999999999999993
1046:WY:SNTL,9.642857142857043
1047:WY:SNTL,7.499999999999922
1049:CA:SNTL,6.666666666666679
1050:CA:SNTL,7.500000000000023
1051:CA:SNTL,7.5000000000000275
1052:CA:SNTL,6.666666666666706
1053:ID:SNTL,7.500000000000003
1054:UT:SNTL,6.000000000000007
1058:CO:SNTL,8.166666666666664
1060:CO:SNTL,7.500000000000007
1061:CO:SNTL,9.99999999999999
1066:UT:SNTL,6.7543859649123
1067:CA:SNTL,6.666666666666567
1068:WA:SNTL,5.000000000000003
1069:WA:SNTL,5.000000000000003
1070:AK:SNTL,9.999999999999995
1077:OR:SNTL,5.000000000000001
1080:WA:SNTL,6.153846153846161
1081:ID:SNTL,5.000000000000034
1082:WY:SNTL,6.249999999999985
1083:NM:SNTL,7.5000000000000275
1085:WA:SNTL,5.0
1099:UT:SNTL,7.500000000000022
1100:CO:SNTL,9.999999999999966
1101:CO:SNTL,9.999999999999993
1103:AK:SNTL,7.499999999999999
1105:MT:SNTL,9.999999999999998
1110:NV:SNTL,5.0
1111:NV:SNTL,6.666666666666656
1112:NV:SNTL,6.000000000000007
1116:UT:SNTL,6.66666666666667
1117:UT:SNTL,8.333333333333329
1119:WY:SNTL,8.000000000000053
1120:CO:SNTL,7.499999999999991
1121:AZ:SNTL,5.999999999999999
1124:CO:SNTL,9.999999999999998
1125:AZ:SNTL,6.000000000000001
1127:AZ:SNTL,5.0
1130:WY:SNTL,9.999999999999995
1131:WY:SNTL,10.0
1132:WY:SNTL,9.999999999999975
1133:WY:SNTL,7.999999999999996
1134:WY:SNTL,6.904761904761919
1135:UT:SNTL,7.4999999999999885
1139:AZ:SNTL,6.666666666666667
1141:CO:SNTL,9.999999999999966
1144:MT:SNTL,6.6666666666666705
1148:UT:SNTL,8.333333333333336
1149:UT:SNTL,6.666666666666665
1154:UT:SNTL,7.777777777777783
1156:UT:SNTL,7.500000000000002
1158:OR:SNTL,6.666666666666668
1160:CO:SNTL,7.499999999999996
1161:CO:SNTL,9.999999999999995
1162:UT:SNTL,10.0
1163:UT:SNTL,8.571428571428577
1164:UT:SNTL,7.499999999999999
1166:OR:SNTL,5.000000000000005
