window,region,observed_pct,ci_low,ci_high,share_other_side_of_zero,n_winters,n_nino,straddles_zero
Early season,Beartooth & Absaroka (Red Lodge),-7.987315647103818,-46.30105191587575,24.777217171495383,0.3321,53,18,True
Early season,Bighorn Mtns (Meadowlark),-5.372277343523223,-54.09719239529205,38.35958087665056,0.4137,48,16,True
Early season,Bitterroots (Lost Trail),-4.929957339580639,-52.774200940027264,29.913489301315,0.4438,59,20,True
Early season,Black Hills (Terry Peak),-61.119791508342296,-141.6273180967514,5.385610921685547,0.0316,26,9,True
Early season,Blue Mtns (Anthony Lakes),-22.15168830493074,-47.22280844068305,2.615411771274617,0.0387,48,16,True
Early season,Bridger Range (Bridger Bowl),-6.957761011137155,-35.103124493889496,22.239282114723327,0.3155,50,18,True
Early season,Central Cascades (Stevens/Snoqualmie),-5.987285966762448,-34.178604920066086,17.252447654202836,0.3285,45,15,True
Early season,Central Oregon (Mt Bachelor),-20.602166309427663,-46.31869029893906,3.4991519046383797,0.0459,46,15,True
Early season,Chugach (Alyeska),10.819276682042299,-17.220258223655847,38.151315739908874,0.2161,43,15,True
Early season,Coeur d'Alenes (Silver/Lookout),-22.56472378803579,-55.825714707630205,5.2216476891872405,0.0563,45,15,True
Early season,E Cascades rain shadow (Mission Ridge),9.749387190293469,-34.56901985660302,43.10221571497088,0.2641,45,15,True
Early season,Elk Mtns (Aspen/Crested Butte),-15.623501453508654,-35.527574058289225,7.065921042400029,0.0791,46,15,True
Early season,Front Range (Winter Park/Loveland/A-Basin),-2.83278228970943,-33.14876257647242,29.238377465978132,0.4249,48,16,True
Early season,Gore & Tenmile (Vail/Summit/Copper),-3.3671202440290404,-39.56405049598778,26.95997852791614,0.4419,48,16,True
Early season,Jemez (Pajarito),20.332274884091476,-24.510938584015292,61.95485436136224,0.165,46,15,True
Early season,Madison & Gallatin (Big Sky),-18.06605554669673,-47.572816149925394,8.862281811277354,0.0916,60,20,True
Early season,Markagunt (Brian Head),32.58864935846143,-12.924475346056347,78.93765417506923,0.0722,46,15,True
Early season,Missoula ranges (Montana Snowbowl),-27.553649083923844,-71.7251637380629,5.929056841525709,0.0558,46,15,True
Early season,Mt Hood,-25.729883933407173,-53.80234234192075,-2.697822285475723,0.0132,48,16,False
