region,water_year,value,n
AK,1981,0.04317523318715951,6
AK,1982,-0.650931578204322,10
AK,1983,-0.04748116889149073,12
AK,1984,-0.3635405912769544,11
AK,1985,0.4692025655102896,12
AK,1986,-0.7506758913948817,12
AK,1987,-0.08778585942232417,13
AK,1988,0.03925929272131183,14
AK,1989,0.03920029297233945,16
AK,1990,0.6711555985454601,18
AK,1991,0.7162870737516185,18
AK,1992,0.316657385186001,19
AK,1993,1.068480447012302,20
AK,1994,-0.2762837393000555,19
AK,1995,0.4530280039023319,20
AK,1996,-0.9174027531738865,19
AK,1997,-0.3840434208910311,19
AK,1998,-0.422279905632397,20
AK,1999,-0.3629034383166994,19
AK,2000,1.11174754074916,20
AK,2001,0.42006807940758106,24
AK,2002,-0.224739140278836,25
AK,2003,-0.822795325256295,24
AK,2004,0.1440974594196302,25
AK,2005,0.3927121558656222,26
AK,2006,-0.24497989039122506,29
AK,2007,-0.4454730423246255,29
AK,2008,0.051617608801237135,31
AK,2009,0.14817552064689668,32
AK,2010,-0.24790247614201666,32
AK,2011,-0.4022221127104303,30
AK,2012,0.9884761756915719,35
AK,2013,0.047153873749418186,35
AK,2014,-0.511231080551559,34
AK,2015,-1.1398346584886652,34
AK,2016,-0.2992948975252341,32
AK,2017,-0.3308421060826883,33
AK,2018,0.05475792924578039,33
AK,2019,-0.5531230740625719,33
AK,2020,0.420854776387312,34
AK,2021,0.4222743891047639,32
AK,2022,1.140721849845298,31
AK,2023,0.5037093294976703,32
AK,2024,0.47145277273989267,30
AK,2025,-0.38607850833399937,32
AK,2026,-0.4289123071092111,31
ALL,1967,0.8143608729221833,11
ALL,1968,-0.031202955953020632,18
ALL,1969,0.03001242138788915,24
ALL,1970,0.21559894629785933,25
ALL,1971,1.326139713958467,27
ALL,1972,1.4156182729540803,33
ALL,1973,-0.9877805948361486,36
ALL,1974,1.2895385212313746,36
ALL,1975,0.5299681335997003,37
ALL,1976,0.8135645681417097,40
ALL,1977,-1.2588284542200932,48
ALL,1978,0.14255266948027775,50
ALL,1979,0.09102228925483424,164
ALL,1980,0.37117635868474,182
ALL,1981,-1.0901445157910707,347
ALL,1982,0.9358375321290711,399
ALL,1983,0.6719130757395061,425
ALL,1984,0.36481724182092357,445
ALL,1985,0.19391540131502166,451
ALL,1986,0.1558078302827679,470
ALL,1987,-0.5855030825824381,492
ALL,1988,-0.5294618276768372,496
ALL,1989,0.2095198735377195,508
ALL,1990,-0.5070356758021978,519
ALL,1991,-0.2999796086746446,525
ALL,1992,-0.9067400782069498,532
ALL,1993,0.23587393851655045,536
ALL,1994,-0.6763019257460642,540
ALL,1995,0.2571751463647269,550
ALL,1996,0.3312680290069114,556
ALL,1997,1.1894536780872342,559
ALL,1998,-0.014757219091149429,561
ALL,1999,0.42653460693368533,571
ALL,2000,0.04837085844377434,581
ALL,2001,-0.8243847990119897,593
ALL,2002,-0.26471203577888774,603
ALL,2003,-0.2136110910035076,610
ALL,2004,-0.5278885996524366,620
ALL,2005,-0.16742904089966495,630
ALL,2006,0.5800979988594277,634
ALL,2007,-0.611650947765754,641
ALL,2008,0.7445116384784052,651
ALL,2009,0.2772977957692209,662
ALL,2010,-0.3020839030069549,677
ALL,2011,0.8451100224309308,695
ALL,2012,-0.22954081779260968,710
ALL,2013,-0.4986640212654824,710
ALL,2014,0.354984764250407,705
ALL,2015,-1.2475069194597173,707
ALL,2016,0.09444011557786895,705
ALL,2017,0.5636193961582889,707
ALL,2018,-0.035392826873567665,704
ALL,2019,0.5624885776155358,707
ALL,2020,0.3322197274660106,708
ALL,2021,0.05187303144701871,706
ALL,2022,-0.41768123672003044,704
ALL,2023,1.2159742701297416,704
ALL,2024,0.18031362138202178,702
ALL,2025,0.11544561758773188,703
ALL,2026,-1.4275417062478262,703
AZ,2009,0.043140379508243475,5
AZ,2010,1.8853674523106179,7
AZ,2011,-0.3101541019675001,7
AZ,2012,-0.5377490474216,7
AZ,2013,-0.5052782137633424,7
AZ,2014,-0.7364907696526364,7
AZ,2015,-0.779768356613429,7
AZ,2016,-0.6510565907945927,7
AZ,2017,0.01890064489491599,7
AZ,2018,-0.736172626325869,7
AZ,2019,0.8426319738557415,7
AZ,2020,0.012371455395374422,7
AZ,2021,-0.14448361562065107,7
AZ,2022,-0.07650157799279243,7
AZ,2023,1.9486343633005345,7
AZ,2024,0.9593172912096908,7
AZ,2025,-0.48455357929741943,7
AZ,2026,-0.7328203021114389,7
CA,1979,-0.3283778586310537,9
CA,1980,0.7660116585005505,10
CA,1981,-0.711046497838074,19
CA,1982,0.851487729733001,20
CA,1983,1.7787396956824462,20
CA,1984,0.06402909978208712,21
CA,1985,-0.02219317030981928,22
CA,1986,0.5097317740762048,22
CA,1987,-0.7931117572713479,22
CA,1988,-1.3272730126686894,22
CA,1989,0.013799315799692876,22
CA,1990,-0.991870773324055,23
CA,1991,-0.6256265568639762,24
CA,1992,-1.054190180783715,24
CA,1993,0.9880591117488833,24
CA,1994,-0.9230160237514825,24
CA,1995,1.4355556884490441,24
CA,1996,0.36816868084681625,24
CA,1997,0.1687546838920271,24
CA,1998,0.8734317881358096,24
CA,1999,0.7388059448669252,24
CA,2000,-0.18764082095942472,24
CA,2001,-0.9405989283965721,24
CA,2002,-0.053894506728221714,24
CA,2003,-0.46695614530159624,24
CA,2004,-0.23102373580744623,28
CA,2005,0.7882392874545701,29
CA,2006,0.7751266091074338,29
CA,2007,-0.9206035032709181,29
CA,2008,-0.04264299326815932,29
CA,2009,-0.21274815810865638,29
CA,2010,0.028501200441132506,29
CA,2011,1.4153510304556698,29
CA,2012,-0.7328570104353586,29
CA,2013,-0.7720994699339456,29
CA,2014,-0.9296787540659059,29
CA,2015,-1.5791382810810382,29
CA,2016,-0.01687130173782656,29
CA,2017,1.6620300321534724,29
CA,2018,-0.389379966044706,29
CA,2019,1.475584036461859,29
CA,2020,-0.5086256858776917,29
CA,2021,-0.4695557041982942,29
CA,2022,-0.8502921534125988,29
CA,2023,2.609377265645695,29
CA,2024,0.29877109230058346,29
CA,2025,0.11978886570460137,29
CA,2026,-1.3325431468606304,29
CO,1979,0.832012739851836,13
CO,1980,0.8154426269324159,18
CO,1981,-1.5366550580981408,47
CO,1982,0.4558460864509025,45
CO,1983,0.2553513291202447,48
CO,1984,0.7843553716098142,48
CO,1985,0.26845796413290124,48
CO,1986,0.44388281258874296,54
CO,1987,-0.176329565909816,67
CO,1988,-0.32887177708324467,67
CO,1989,-0.18524892679130753,67
CO,1990,-0.8007150747394459,69
CO,1991,-0.12605219936352663,70
CO,1992,-0.25780361703445176,72
CO,1993,1.0862821740844817,73
CO,1994,-0.38779465900466314,73
CO,1995,0.386299775171146,75
CO,1996,0.6733934969221762,76
CO,1997,0.8790121855457422,76
CO,1998,-0.14014929794855083,76
CO,1999,-0.8022500283968476,81
CO,2000,0.008097385751484186,83
CO,2001,-0.2697554524215742,84
CO,2002,-1.4347565736257004,85
CO,2003,0.05600062189413916,90
CO,2004,-0.9515227031852258,91
CO,2005,0.4999194993642037,96
CO,2006,0.2646659183242992,97
CO,2007,-0.3326433712145512,97
CO,2008,1.086829669883248,100
CO,2009,0.2918000976723715,103
CO,2010,-0.04776514431671068,106
CO,2011,0.808767937116233,108
CO,2012,-1.359446773851722,110
CO,2013,-0.7267410170091761,110
CO,2014,0.7173784827190507,109
CO,2015,-0.7144448861448253,109
CO,2016,0.2638345711471059,109
CO,2017,0.4885137440730874,109
CO,2018,-0.7058848490746542,109
CO,2019,1.2951880196875798,109
CO,2020,0.48013785626429833,109
CO,2021,0.07081008724584116,109
CO,2022,-0.05744349769708597,109
CO,2023,1.1383790794531217,108
CO,2024,0.5247536090752587,108
CO,2025,-0.11330250058994357,108
CO,2026,-2.121717712837592,108
ID,1981,-0.8342105211632078,24
ID,1982,1.5489738737623724,50
ID,1983,1.2028695298529275,56
ID,1984,0.35037162443633046,59
ID,1985,0.16943470880459502,61
ID,1986,0.27760535912233925,61
ID,1987,-1.1543764724725731,63
ID,1988,-0.7156577134005071,63
ID,1989,0.5538476755936257,65
ID,1990,-0.8144819568464547,65
ID,1991,-0.5917801276956162,67
ID,1992,-1.3575555421499346,67
ID,1993,0.052144636634929485,68
ID,1994,-1.140212207114918,69
ID,1995,0.3654993019410881,69
ID,1996,0.3545067919576087,70
ID,1997,1.8859795720904649,70
ID,1998,-0.2734867150258866,70
ID,1999,1.203161481645399,70
ID,2000,0.08717248783172235,71
ID,2001,-1.4520525700410905,73
ID,2002,0.215488187855548,74
ID,2003,-0.23370383588685978,74
ID,2004,-0.36590296396107186,74
ID,2005,-0.8299104883085314,74
ID,2006,1.0827980777754838,74
ID,2007,-0.8010894073878891,75
ID,2008,0.7949689239810702,75
ID,2009,0.23182860420314946,75
ID,2010,-0.7353492407408317,76
ID,2011,0.8269460568190755,76
ID,2012,0.3162863846163493,76
ID,2013,-0.607398767854496,76
ID,2014,0.3119476722921421,76
ID,2015,-1.4364061862227564,76
ID,2016,0.2471902616449617,76
ID,2017,0.7487866942834723,76
ID,2018,0.16320709649353093,75
ID,2019,0.4602464092120087,76
ID,2020,0.18600610481267496,76
ID,2021,-0.11259099600680773,76
ID,2022,-0.6129259495299282,76
ID,2023,1.1439114978709022,75
ID,2024,0.023110181999409483,76
ID,2025,0.46905185596510035,75
ID,2026,-1.204733480034128,76
MT,1967,1.0329708324531468,10
MT,1968,-0.031202955953020632,18
MT,1969,0.03001242138788915,24
MT,1970,0.21559894629785933,25
MT,1971,1.326139713958467,27
MT,1972,1.4156182729540803,33
MT,1973,-0.9769146612163879,35
MT,1974,1.2895385212313746,36
MT,1975,0.5299681335997003,37
MT,1976,0.8135645681417097,40
MT,1977,-1.2588284542200932,48
MT,1978,0.13132380972995572,49
MT,1979,0.10069533230600158,60
MT,1980,-0.11765298511403194,61
MT,1981,-0.8759592767991073,70
MT,1982,1.186455240133975,70
MT,1983,0.022696980317221043,70
MT,1984,-0.4218572663150791,71
MT,1985,-0.057671665113620235,71
MT,1986,-0.3460074119004211,72
MT,1987,-0.9267071146683494,72
MT,1988,-0.6016379381130431,71
MT,1989,0.3122115123339097,73
MT,1990,-0.07898058663123249,74
MT,1991,0.030226211956359265,74
MT,1992,-0.9718548179616411,77
MT,1993,-0.7274235320701347,77
MT,1994,-0.8104659089864482,77
MT,1995,-0.0727428738866081,80
MT,1996,0.8022123880192605,81
MT,1997,2.131648517499033,82
MT,1998,-0.5826347822856119,82
MT,1999,0.791347767386105,83
MT,2000,-0.14638258631892892,84
MT,2001,-1.0665426210426745,84
MT,2002,-0.02754171283953252,87
MT,2003,0.19702868277329794,87
MT,2004,-0.579150671289038,87
MT,2005,-0.9910204604520412,87
MT,2006,0.4791099456222349,87
MT,2007,-0.7280066006657143,87
MT,2008,0.5860723912371821,87
MT,2009,0.6186529812776618,89
MT,2010,-0.720113479063854,89
MT,2011,1.1337485860245968,90
MT,2012,0.35341699723833364,90
MT,2013,-0.45960804199670285,90
MT,2014,1.5868320633842898,90
MT,2015,-1.0591307733009898,90
MT,2016,-0.08835941559336813,90
MT,2017,-0.20386559478656138,90
MT,2018,1.4572102371885935,89
MT,2019,0.07414162323712317,90
MT,2020,0.5475956074476427,90
MT,2021,-0.14407895744261565,90
MT,2022,-0.6311455089129159,90
MT,2023,0.694803650767791,90
MT,2024,-0.7351248693452,89
MT,2025,0.14398061490283978,89
MT,2026,-0.8232903499199591,89
NM,1980,1.0621467975856054,5
NM,1981,-1.1444201227310908,10
NM,1982,0.09486709967304241,10
NM,1983,1.1515483343656698,10
NM,1984,0.4541543425181171,10
NM,1985,0.8568683433139886,10
NM,1986,-1.087912896132143,10
NM,1987,0.4542884204623584,10
NM,1988,-0.5538959110168251,10
NM,1989,-1.0282081970307946,10
NM,1990,-0.7403697111997972,11
NM,1991,0.719920344037663,11
NM,1992,0.936671577900831,11
