region,water_year,value,n
ALL,1928,-0.5152741290321036,7
ALL,1929,0.07954507739662531,7
ALL,1930,-0.9875024549122585,16
ALL,1931,-1.6263339663544847,28
ALL,1932,0.5825734524124688,40
ALL,1933,-0.3670915108888115,39
ALL,1934,-1.4413447214846964,41
ALL,1935,-0.41428364666519113,50
ALL,1936,0.8958059660019502,98
ALL,1937,-0.08962129796159675,168
ALL,1938,0.32678394561604057,185
ALL,1939,-0.5983295193812048,210
ALL,1940,-0.9448612021030208,228
ALL,1941,-0.9858516506672278,237
ALL,1942,-0.5692769655424913,242
ALL,1943,0.7563580002538722,246
ALL,1944,-0.7235400038839486,245
ALL,1945,-0.43690915582015283,248
ALL,1946,-0.3077614204994304,249
ALL,1947,-0.07683419162556891,254
ALL,1948,0.030152019272927884,265
ALL,1949,0.7444031083625237,307
ALL,1950,0.439146431957693,324
ALL,1951,0.23022693476320857,358
ALL,1952,1.5019123421116525,363
ALL,1953,-0.41635197164714,367
ALL,1954,-0.0689283768916849,378
ALL,1955,-0.4423024476064674,403
ALL,1956,0.3378439919908238,435
ALL,1957,0.249461400271899,460
ALL,1958,0.1801319058693945,462
ALL,1959,-0.17331222089159756,473
ALL,1960,-0.5761156937874051,491
ALL,1961,-0.7830245681843303,527
ALL,1962,0.5995416171635582,555
ALL,1963,-1.1026615860098834,582
ALL,1964,-0.13495858344102205,600
ALL,1965,1.0114037287727295,628
ALL,1966,-0.9954792265819353,646
ALL,1967,0.033776233490496174,677
ALL,1968,-0.23386287703875258,685
ALL,1969,0.458919572352028,704
ALL,1970,0.26327506053066085,738
ALL,1971,0.8669878733970271,744
ALL,1972,0.4082898546129956,757
ALL,1973,-0.34672416217678315,773
ALL,1974,0.5967366110558652,773
ALL,1975,0.681044222586031,790
ALL,1976,0.4694938038608444,807
ALL,1977,-1.4544515850695783,818
ALL,1978,0.3464807576338446,821
ALL,1979,0.4144277548284435,814
ALL,1980,0.4796137891231534,828
ALL,1981,-1.2243548782606961,828
