region,water_year,value,n
AK,1981,-0.11596026083018605,6
AK,1982,-0.5102316759674352,10
AK,1983,0.01141491531271964,12
AK,1984,-0.21413224073481876,11
AK,1985,0.5360556754885172,12
AK,1986,-0.8555969452019426,12
AK,1987,-0.14164415141536688,13
AK,1988,0.16435911324638847,14
AK,1989,-0.06951498743572884,16
AK,1990,0.5314487408373391,18
AK,1991,0.7391105535940657,18
AK,1992,0.46364911294045374,19
AK,1993,0.9514566779142379,20
AK,1994,-0.33399276783366805,19
AK,1995,0.5581309095431117,19
AK,1996,-1.0071074372294604,19
AK,1997,-0.5421171919346401,19
AK,1998,-0.3383615671551384,20
AK,1999,-0.4117193443621029,19
AK,2000,1.0511834569112775,20
AK,2001,0.40536894228224507,24
AK,2002,0.25670273108102265,24
AK,2003,-0.8794149702754862,24
AK,2004,0.13353226391942155,25
AK,2005,0.2733448623737465,26
AK,2006,-0.15707980487237,28
AK,2007,-0.619091870437912,29
AK,2008,0.1601642610526115,30
AK,2009,0.14472721976164743,32
AK,2010,-0.07518769141464417,32
AK,2011,-0.43577509071922305,30
AK,2012,0.8412946092019636,34
AK,2013,0.0676466373963256,34
AK,2014,-0.7335949469180272,32
AK,2015,-1.1155369921859961,32
AK,2016,-0.267759250308694,31
AK,2017,-0.5062708593097565,32
AK,2018,-0.012592948434577226,31
AK,2019,-0.4015673886746766,30
AK,2020,0.40268512883287105,32
AK,2021,0.5168862579828873,31
AK,2022,0.9347730662291037,28
AK,2023,0.5526631735693137,27
AK,2024,0.46574340900060374,29
AK,2025,-0.16855652990093267,28
AK,2026,-0.3602230975807893,28
ALL,1967,0.7581254500347939,11
ALL,1968,-0.050974908793081225,18
ALL,1969,-0.20657077468896087,24
ALL,1970,0.6791589775200556,25
ALL,1971,1.2236290936432537,27
ALL,1972,1.4311115951861768,30
ALL,1973,-0.8756872212136099,33
ALL,1974,1.2470529538735637,33
ALL,1975,0.9971896886697461,35
ALL,1976,0.7820382770662803,40
ALL,1977,-1.5062585573792464,48
ALL,1978,0.35595673438822195,50
ALL,1979,0.06933978905627723,158
ALL,1980,0.27641716339217803,183
ALL,1981,-1.265489010781362,365
ALL,1982,0.9256033964626313,412
ALL,1983,0.7693392323928743,443
ALL,1984,0.48397746140538994,463
ALL,1985,0.04090224371303885,476
ALL,1986,0.2785896990790771,498
ALL,1987,-0.760168210635626,526
ALL,1988,-0.6371301181209174,528
ALL,1989,0.13387623645516628,539
ALL,1990,-0.5765191692387505,554
ALL,1991,-0.2801728564627749,560
ALL,1992,-0.8685995726898174,567
ALL,1993,0.5579507361530176,571
ALL,1994,-0.6763424297529065,575
ALL,1995,0.363729541895547,585
ALL,1996,0.18028648995244392,592
ALL,1997,1.266138382280959,597
ALL,1998,0.09224439307209098,601
ALL,1999,0.506061949995426,613
ALL,2000,-0.17440267585432614,626
ALL,2001,-0.6682577973244384,639
ALL,2002,-0.3367249494398656,651
ALL,2003,-0.3289469706006384,659
ALL,2004,-0.2441715541857073,673
ALL,2005,-0.3089905640901079,684
ALL,2006,0.3885087073194429,687
ALL,2007,-0.5175010015473289,696
ALL,2008,0.7661314507511802,706
ALL,2009,0.28891356335443213,722
ALL,2010,-0.21901031212015118,739
ALL,2011,1.0807058757212993,759
ALL,2012,-0.19489049774414013,776
ALL,2013,-0.3877703977631102,776
ALL,2014,0.059013792167557075,769
ALL,2015,-1.0270056485626675,772
ALL,2016,-0.037807150844046226,771
ALL,2017,0.7451741151888731,770
ALL,2018,-0.18695741276463593,767
ALL,2019,0.5643024827221449,768
ALL,2020,0.13775309503746372,769
ALL,2021,-0.15598610449368944,765
ALL,2022,-0.2630357364284058,768
ALL,2023,1.1738451701007742,763
ALL,2024,0.010014676200083663,768
ALL,2025,-0.030818309779648886,766
ALL,2026,-1.0792458594963579,764
AZ,1981,-1.0533045323826113,11
AZ,1982,0.0851010534143741,10
AZ,1983,1.3147044812291713,10
AZ,1984,-1.0768475476243813,11
AZ,1985,1.2004623526314393,12
AZ,1986,-1.0631140984260103,12
AZ,1987,0.39358392225047184,12
AZ,1988,-0.08381227758230266,12
AZ,1989,-0.35129004909502365,12
AZ,1990,-0.6767873216568118,12
AZ,1991,0.8664342453937786,12
AZ,1992,0.5539999290370299,12
AZ,1993,1.7947592362666758,12
AZ,1994,-0.30401416474363535,12
AZ,1995,0.2798463238924413,13
AZ,1996,-1.284504020779359,13
AZ,1997,0.3365940316137721,13
AZ,1998,1.1426878823377427,14
AZ,1999,-1.0093620453957113,14
AZ,2000,-1.0954927381851152,15
AZ,2001,-0.1285726296952342,15
AZ,2002,-1.0689930839392192,15
AZ,2003,-0.32955762895947244,15
AZ,2004,-0.14211823662499468,15
AZ,2005,0.872135486491831,15
AZ,2006,-0.9097284316600316,15
AZ,2007,-0.25789030850633266,15
AZ,2008,1.1614017823524299,15
AZ,2009,0.5951404665623551,17
AZ,2010,2.527428574230964,20
AZ,2011,-0.29239976397474454,20
AZ,2012,-0.34896050760645375,20
AZ,2013,-0.13022084411523369,20
AZ,2014,-0.882681644205055,20
AZ,2015,-0.7034582885066576,20
AZ,2016,-0.035679320044833984,20
AZ,2017,0.34901189659643783,20
AZ,2018,-1.059664810765287,20
AZ,2019,0.5390693805101654,20
AZ,2020,-0.005153813461919487,20
AZ,2021,-0.3536085603071683,19
AZ,2022,-0.19345239881314447,20
AZ,2023,1.9555996587489974,20
AZ,2024,0.46541923349218345,20
AZ,2025,-0.7312298198787102,20
AZ,2026,-0.7849958461429835,20
CA,1979,-0.4085554378157627,9
CA,1980,0.7816034768995006,10
CA,1981,-0.9299483920652697,19
CA,1982,0.9719994073208321,21
CA,1983,1.8555342358573146,21
CA,1984,0.050825145078980824,23
CA,1985,-0.1773575407425186,24
CA,1986,0.6142159114782985,24
CA,1987,-0.9867550177209384,24
