region,window,metric,metric_label,unit,n_winters,all_winters,n_nino,mean_nino,n_nina,mean_nina,n_neutral,mean_neutral,nino_minus_all,nina_minus_all,nino_minus_nina,pct_change_nino,pct_change_nina
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,53,1.1179725446452495,18,1.014412746958261,19,1.3564965639402553,16,0.9512300441302917,-0.10355979768698864,0.23852401929500577,-0.3420838169819944,-9.263178973670575,21.33540939242772
Beartooth & Absaroka (Red Lodge),Early season,storm_days_per_window,Storm days (>= 2 in of new snow),days,53,6.8937613892732905,18,6.0211018697073175,19,7.812222607712303,16,6.784830651888683,-0.872659519565973,0.9184612184390124,-1.7911207380049854,-12.65868471925694,13.32307816554458
Beartooth & Absaroka (Red Lodge),Early season,new_snow_in_total,Total new snow in the window,in,53,43.21959908222309,18,38.65949053882499,19,48.20300596412527,16,42.43192552128713,-4.560108543398101,4.983406881902177,-9.543515425300278,-10.551020000724039,11.530432923316798
Beartooth & Absaroka (Red Lodge),Early season,days_with_base_per_window,Days with a skiable base,days,53,2.5585969061121654,18,1.5300311386716825,19,4.13467544287032,16,1.844140132082401,-1.028565767440483,1.5760785367581542,-2.6046443041986374,-40.20038345951912,61.59932942125824
Beartooth & Absaroka (Red Lodge),Early season,mean_swe_in,Average base (snow water equivalent),in,53,4.2512014584100255,18,3.9896934291750545,19,4.722536857897756,16,3.9856872044076868,-0.26150802923497096,0.47133539948773073,-0.7328434287227017,-6.1513911253873275,11.087110410994566
Beartooth & Absaroka (Red Lodge),Early season,mean_depth_in,Average base (snow depth),in,25,16.83229880795287,9,15.783425042919552,9,19.087006647081868,7,15.281940712687001,-1.0488737650333189,2.254707839128997,-3.303581604162316,-6.231316215333288,13.395127218533574
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,53,0.43048831804464227,18,0.3256291328939577,19,0.4499053428387607,16,0.5253971843961468,-0.1048591851506846,0.019417024794118443,-0.12427620994480304,-24.358195276232916,4.51046497203784
Beartooth & Absaroka (Red Lodge),Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,53,3.391244355089237,18,2.446587795226303,19,3.7840017718819654,16,3.987583552493673,-0.944656559862934,0.39275741679272835,-1.3374139766556623,-27.85575030726668,11.581513322781287
Beartooth & Absaroka (Red Lodge),Holidays,new_snow_in_total,Total new snow in the window,in,53,20.379373603775026,18,15.76427834031058,19,22.199752760391416,16,23.409655526690543,-4.615095263464445,1.82037915661639,-6.435474420080835,-22.645913231648866,8.932458828269322
Beartooth & Absaroka (Red Lodge),Holidays,days_with_base_per_window,Days with a skiable base,days,53,6.224008727960351,18,4.392851701703996,19,7.53633318702058,16,6.725675087364728,-1.8311570262563555,1.3123244590602292,-3.1434814853165847,-29.42086212106643,21.08487498040972
Beartooth & Absaroka (Red Lodge),Holidays,mean_swe_in,Average base (snow water equivalent),in,53,8.07735968947961,18,7.23522036493686,19,8.81252285616656,16,8.15176016914945,-0.8421393245427504,0.7351631666869487,-1.5773024912296991,-10.42592328331742,9.10152815956017
Beartooth & Absaroka (Red Lodge),Holidays,mean_depth_in,Average base (snow depth),in,25,30.437931276433652,9,27.150746810055367,9,32.91283581806048,7,31.48229117968552,-3.287184466378285,2.4749045416268274,-5.762089008005113,-10.799631671825752,8.130988006872215
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,53,1.1795637869998097,18,0.8819637317935093,19,1.461681535196186,16,1.1793490231237,-0.2976000552063004,0.28211774819637636,-0.5797178034026768,-25.229670365113403,23.917125237791137
Beartooth & Absaroka (Red Lodge),Midwinter,storm_days_per_window,Storm days (>= 2 in of new snow),days,53,8.497941707813423,18,7.39574472107696,19,9.186701631405972,16,8.92001090862579,-1.1021969867364634,0.6887599235925492,-1.7909569103290126,-12.970164124838012,8.10502057173762
Beartooth & Absaroka (Red Lodge),Midwinter,new_snow_in_total,Total new snow in the window,in,53,52.00477837651803,18,46.19248942589782,19,56.57572562226735,16,53.11560359163842,-5.812288950620214,4.570947245749316,-10.38323619636953,-11.176451726298797,8.78947548368605
Beartooth & Absaroka (Red Lodge),Midwinter,days_with_base_per_window,Days with a skiable base,days,53,31.76526224004269,18,28.32511123502165,19,34.12372060076382,16,32.834762817335026,-3.4401510050210398,2.3584583607211265,-5.798609365742166,-10.82991533022652,7.4246462783741745
Beartooth & Absaroka (Red Lodge),Midwinter,mean_swe_in,Average base (snow water equivalent),in,53,12.389060518675564,18,11.03138295658966,19,13.623070170066896,16,12.451061314994995,-1.3576775620859038,1.2340096513913323,-2.591687213477236,-10.958680523348066,9.960478032463858
Beartooth & Absaroka (Red Lodge),Midwinter,mean_depth_in,Average base (snow depth),in,25,43.060862252054804,9,38.884296891108164,9,46.69674213778718,7,43.756029291615974,-4.17656536094664,3.635879885732379,-7.812445246679019,-9.699214420044132,8.443583559590426
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,53,1.0012620184568253,18,0.9093034141236126,19,0.9948208985430718,16,1.112364278229272,-0.09195860433321268,-0.0064411199137535124,-0.08551748441945917,-9.184269715427936,-0.6433001347320412
Beartooth & Absaroka (Red Lodge),Spring,storm_days_per_window,Storm days (>= 2 in of new snow),days,53,7.33272185450589,18,6.55600669707313,19,8.00484188522449,16,7.4083838701394065,-0.7767151574327604,0.6721200307185997,-1.4488351881513601,-10.592453564231079,9.166037442230106
Beartooth & Absaroka (Red Lodge),Spring,new_snow_in_total,Total new snow in the window,in,53,45.015101871079175,18,40.74282591138176,19,48.34971287694149,16,45.861561756277226,-4.272275959697417,3.334611005862314,-7.606886965559731,-9.490761504734534,7.407760656440277
Beartooth & Absaroka (Red Lodge),Spring,days_with_base_per_window,Days with a skiable base,days,53,36.04448056785728,18,34.622997264963885,19,37.99878698651531,16,35.32291041145592,-1.4214833028933924,1.9543064186580352,-3.3757897215514276,-3.943692017470776,5.421929759755758
Beartooth & Absaroka (Red Lodge),Spring,mean_swe_in,Average base (snow water equivalent),in,53,17.81626003882088,18,15.737769523160502,19,19.684688189163495,16,17.935803440406936,-2.078490515660377,1.8684281503426163,-3.9469186660029933,-11.666256055599963,10.487207451347198
Beartooth & Absaroka (Red Lodge),Spring,mean_depth_in,Average base (snow depth),in,25,53.778794673146805,9,48.18592760500944,9,58.88693678644667,7,54.40201247222354,-5.592867068137366,5.108142113299863,-10.701009181437229,-10.399762772909513,9.498431759852169
Bighorn Mtns,Early season,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.3299968570858894,16,0.3117594655277739,16,0.30396755839101935,16,0.3742635473388749,-0.01823739155811549,-0.02602929869487003,0.007791907136754539,-5.526534924958023,-7.887741393881002
Bighorn Mtns,Early season,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,3.6311727776940983,16,3.4153800289928458,16,3.7123520130498417,16,3.765786291039608,-0.21579274870125253,0.08117923535574345,-0.296971984056996,-5.9427838308010035,2.235620289247009
Bighorn Mtns,Early season,new_snow_in_total,Total new snow in the window,in,48,27.152457580196188,16,25.800126491532225,16,27.833797470490076,16,27.823448778566277,-1.3523310886639628,0.6813398902938879,-2.0336709789578507,-4.980510823632751,2.5093120513364777
Bighorn Mtns,Early season,days_with_base_per_window,Days with a skiable base,days,48,0.012950561745963984,16,0.0,16,0.0,16,0.03885168523789195,-0.012950561745963984,-0.012950561745963984,0.0,-100.0,-100.0
Bighorn Mtns,Early season,mean_swe_in,Average base (snow water equivalent),in,48,2.7878917575123032,16,2.981441487757797,16,2.632779585020071,16,2.7494541997590405,0.19354973024549382,-0.15511217249223241,0.34866190273772624,6.942512374232293,-5.563780303674429
Bighorn Mtns,Early season,mean_depth_in,Average base (snow depth),in,23,11.670300785201023,8,11.731940369226248,9,12.44278846142975,6,10.4293831588243,0.06163958402522418,0.7724876762287263,-0.7108480922035021,0.5281747673837905,6.619261066589726
Bighorn Mtns,Holidays,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.1298733528028874,16,0.05265687427827851,16,0.14952417039080101,16,0.18743901373958266,-0.07721647852460889,0.01965081758791362,-0.09686729611252251,-59.455212988766526,15.130754049091385
Bighorn Mtns,Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,1.8116241728959481,16,1.0986225078002378,16,2.132483248871706,16,2.2037667620159,-0.7130016650957103,0.3208590759757579,-1.0338607410714682,-39.35704081249649,17.711127990904032
Bighorn Mtns,Holidays,new_snow_in_total,Total new snow in the window,in,48,12.341152967408078,16,8.481423812811508,16,14.275825952135609,16,14.266209137277123,-3.85972915459657,1.9346729847275306,-5.7944021393241005,-31.275271968427763,15.6765983683764
Bighorn Mtns,Holidays,days_with_base_per_window,Days with a skiable base,days,48,0.35250012766987276,16,0.08834259940263844,16,0.27298744254415885,16,0.6961703410628212,-0.2641575282672343,-0.07951268512571391,-0.1846448431415204,-74.93827874996572,-22.556781936879183
Bighorn Mtns,Holidays,mean_swe_in,Average base (snow water equivalent),in,48,4.677811800100915,16,4.471316331421687,16,4.616119222745315,16,4.9459998461357415,-0.2064954686792273,-0.06169257735559963,-0.14480289132362767,-4.414360335633267,-1.318834104319219
Bighorn Mtns,Holidays,mean_depth_in,Average base (snow depth),in,23,19.96657113783395,8,18.49874214294589,9,21.53595259128049,6,19.56960428418154,-1.467828994888059,1.5693814534465425,-3.0372104483346014,-7.351432475587767,7.860044885086839
Bighorn Mtns,Midwinter,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.40444169210611003,16,0.3283241760186661,16,0.47087298971736347,16,0.4141279105823005,-0.07611751608744394,0.06643129761125344,-0.14254881369869737,-18.820393043819433,16.425432616829326
Bighorn Mtns,Midwinter,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,4.9530180174202405,16,4.641784420818567,16,5.0385190775089574,16,5.178750553933197,-0.3112335966016735,0.08550106008871694,-0.39673465669039043,-6.283716221241979,1.7262416528266502
Bighorn Mtns,Midwinter,new_snow_in_total,Total new snow in the window,in,48,33.90449469374713,16,31.26271240648891,16,36.42956184828091,16,34.021209826471576,-2.6417822872582235,2.5250671545337795,-5.166849441792003,-7.7918350092545,7.447588224930741
Bighorn Mtns,Midwinter,days_with_base_per_window,Days with a skiable base,days,48,8.78848200043233,16,5.551660451670886,16,10.468512758414587,16,10.345272791211515,-3.2368215487614442,1.6800307579822569,-4.916852306743701,-36.830268851915676,19.116279215222967
Bighorn Mtns,Midwinter,mean_swe_in,Average base (snow water equivalent),in,48,6.903937733512175,16,6.4310148026386145,16,7.053618580691898,16,7.227179817206012,-0.47292293087356096,0.14968084717972285,-0.6226037780532838,-6.850046294275823,2.1680503642604134
Bighorn Mtns,Midwinter,mean_depth_in,Average base (snow depth),in,23,28.848248223804315,8,26.414961609672662,9,31.567758434847875,6,28.01336505941453,-2.433286614131653,2.719510211043559,-5.152796825175212,-8.43478118759326,9.426950953644173
Bighorn Mtns,Spring,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,48,0.8241693778350269,16,0.9950371023451713,16,0.6137449349591181,16,0.8637260962007911,0.17086772451014443,-0.21042444287590878,0.3812921673860532,20.73211273136465,-25.53169876666168
Bighorn Mtns,Spring,storm_days_per_window,Storm days (>= 2 in of new snow),days,48,6.444639477762756,16,5.612856712031912,16,6.813758668607895,16,6.907303052648461,-0.8317827657308436,0.3691191908451392,-1.2009019565759829,-12.906583348857792,5.727538245060657
Bighorn Mtns,Spring,new_snow_in_total,Total new snow in the window,in,48,40.684077840335476,16,38.44522602280449,16,40.99366207942189,16,42.613345418780064,-2.2388518175309855,0.3095842390864121,-2.5484360566173976,-5.503017240103983,0.760946924498017
Bighorn Mtns,Spring,days_with_base_per_window,Days with a skiable base,days,48,23.868910717870857,16,21.696219038997896,16,24.627353696893017,16,25.283159417721663,-2.1726916788729618,0.7584429790221598,-2.9311346578951216,-9.102600887631832,3.177534944878348
Bighorn Mtns,Spring,mean_swe_in,Average base (snow water equivalent),in,48,10.246394647710284,16,9.523764284203766,16,10.535118541591862,16,10.680301117335222,-0.7226303635065179,0.2887238938815777,-1.0113542573880956,-7.052532996745356,2.8178096180015624
Bighorn Mtns,Spring,mean_depth_in,Average base (snow depth),in,23,37.1707836951678,8,33.765954334636376,9,40.9185032839036,6,36.088976792772684,-3.404829360531423,3.747719588735798,-7.152548949267221,-9.15996119009471,10.082433610951822
Bitterroot & Lolo (Montana Snowbowl),Early season,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,59,0.9254210538356303,20,0.7920453685621294,22,0.9541499691255099,17,1.045155028488141,-0.13337568527350097,0.02872891528987953,-0.1621046005633805,-14.412432559286753,3.104415570707585
Bitterroot & Lolo (Montana Snowbowl),Early season,storm_days_per_window,Storm days (>= 2 in of new snow),days,59,6.201506740885636,20,5.689081179200756,22,6.236770983454968,17,6.758724264248707,-0.5124255616848794,0.03526424256933236,-0.5476898042542118,-8.262920336868005,0.568639913536501
Bitterroot & Lolo (Montana Snowbowl),Early season,new_snow_in_total,Total new snow in the window,in,59,39.49956530474194,20,36.00188483875584,22,40.93788116117191,17,41.753133568169154,-3.4976804659861003,1.4383158564299663,-4.935996322416067,-8.85498470426509,3.6413460384519616
Bitterroot & Lolo (Montana Snowbowl),Early season,days_with_base_per_window,Days with a skiable base,days,59,2.7985566879732198,20,2.0746525669501885,22,2.8067487328653984,17,3.6396071251986735,-0.7239041210230313,0.008192044892178618,-0.7320961659152099,-25.86705226068869,0.29272392184813983
Bitterroot & Lolo (Montana Snowbowl),Early season,mean_swe_in,Average base (snow water equivalent),in,59,3.177962644225546,20,2.866803259711305,22,3.2982966625787298,17,3.3883061316675933,-0.3111593845142413,0.12033401835318358,-0.4314934028674249,-9.791159285010076,3.786514563720065
Bitterroot & Lolo (Montana Snowbowl),Early season,mean_depth_in,Average base (snow depth),in,26,13.823464841959305,9,12.515696212602466,10,14.526108354325867,7,14.501105204894444,-1.3077686293568398,0.7026435123665618,-2.0104121417234015,-9.460498104551043,5.082976810804915
Bitterroot & Lolo (Montana Snowbowl),Holidays,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,59,0.6103346222752787,20,0.49587425764585547,22,0.7622108056065925,17,0.5484482257634878,-0.11446036462942322,0.1518761833313138,-0.266336547960737,-18.753706647465638,24.88408453138895
Bitterroot & Lolo (Montana Snowbowl),Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,59,3.704315815925584,20,3.055407887372458,22,4.386255667135594,17,3.5852265126574823,-0.6489079285531258,0.6819398512100103,-1.3308477797631362,-17.517618928800367,18.409333466607155
Bitterroot & Lolo (Montana Snowbowl),Holidays,new_snow_in_total,Total new snow in the window,in,59,23.19128501692768,20,19.724424164121874,22,27.01206076600431,17,22.325411521423593,-3.466860852805805,3.820775749076631,-7.287636601882436,-14.94898126721003,16.47504977101436
Bitterroot & Lolo (Montana Snowbowl),Holidays,days_with_base_per_window,Days with a skiable base,days,59,5.900202491234632,20,4.7941868401413155,22,6.375707938337294,17,6.586037384505677,-1.1060156510933163,0.4755054471026625,-1.5815210981959789,-18.745384632754863,8.059137763645834
Bitterroot & Lolo (Montana Snowbowl),Holidays,mean_swe_in,Average base (snow water equivalent),in,59,7.51927116668404,20,6.683228203050914,22,7.950662725770797,17,7.944579694493086,-0.8360429636331261,0.43139155908675697,-1.267434522719883,-11.118670215504634,5.737145921776864
Bitterroot & Lolo (Montana Snowbowl),Holidays,mean_depth_in,Average base (snow depth),in,26,31.60552248192496,9,28.020116602307795,10,33.68124262530767,7,33.25001555088601,-3.5854058796171664,2.075720143382707,-5.661126022999873,-11.344238595225383,6.5675868657757555
Bitterroot & Lolo (Montana Snowbowl),Midwinter,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,59,1.5171594876709855,20,0.8356983822801434,22,2.0470444598979434,17,1.6331449417194428,-0.6814611053908421,0.5298849722269579,-1.2113460776178,-44.91690629288839,34.92612190959517
Bitterroot & Lolo (Montana Snowbowl),Midwinter,storm_days_per_window,Storm days (>= 2 in of new snow),days,59,9.16858900468503,20,7.0506631139400895,22,10.597880406493944,17,9.81059529733812,-2.1179258907449405,1.4292914018089142,-3.5472172925538548,-23.099801830605646,15.589000674788288
Bitterroot & Lolo (Montana Snowbowl),Midwinter,new_snow_in_total,Total new snow in the window,in,59,57.98453042988305,20,45.69513330900135,22,67.65700292777967,17,59.925327339524735,-12.289397120881702,9.67247249789662,-21.961869618778323,-21.194268591590088,16.68112585578824
Bitterroot & Lolo (Montana Snowbowl),Midwinter,days_with_base_per_window,Days with a skiable base,days,59,26.326043767350395,20,22.79606365142721,22,29.444390652785128,17,26.443453816697446,-3.529980115923184,3.1183468854347325,-6.6483270013579165,-13.408699564273578,11.845102564564264
Bitterroot & Lolo (Montana Snowbowl),Midwinter,mean_swe_in,Average base (snow water equivalent),in,59,13.112757761205813,20,11.364083802800481,22,14.464982765545466,17,13.42008300077254,-1.7486739584053321,1.3522250043396529,-3.100898962744985,-13.335668897802691,10.312285401475348
Bitterroot & Lolo (Montana Snowbowl),Midwinter,mean_depth_in,Average base (snow depth),in,26,48.353611386510025,9,43.46420429807177,10,52.26000025340183,7,49.059436404656665,-4.889407088438254,3.9063888668918025,-8.795795955330057,-10.111772312837692,8.078794437227144
Bitterroot & Lolo (Montana Snowbowl),Spring,big_storm_days_per_window,Powder days (>= 6 in of new snow),days,59,0.6813058263657208,20,0.5801959638390788,22,0.6741342760963022,17,0.8095394355692537,-0.101109862526642,-0.007171550269418625,-0.09393831225722338,-14.840598540891804,-1.0526183678295715
