region,states,climate,base_ft,summit_ft,stations,eff_stations,wtd_elev_ft,median_elev_ft,in_band
Chugach (Alyeska),AK,maritime,250,2750,11,9.5,1413.0,1340.0,7
North Cascades (Mt Baker),WA,maritime,3500,5089,10,8.6,4160.0,3835.0,5
Central Cascades (Stevens/Snoqualmie),WA,maritime,3000,5845,24,20.9,3832.0,3875.0,20
S Washington Cascades (Crystal/White Pass),WA,maritime,4400,7012,24,18.8,4683.0,4300.0,12
Mt Hood,OR,maritime,4500,8540,11,9.4,4268.0,3660.0,2
E Cascades rain shadow (Mission Ridge),WA,transitional,4570,6820,7,5.9,4744.0,4340.0,2
Central Oregon (Mt Bachelor),OR,transitional,6300,9065,10,7.3,5220.0,4935.0,0
Blue Mtns (Anthony Lakes),OR,transitional,7100,8000,18,13.7,5809.0,5455.0,2
N Sierra / Tahoe (Palisades/Heavenly/Rose),CA+NV,maritime,6200,10067,27,24.9,7573.0,7860.0,26
S Sierra (Mammoth/June),CA,maritime,7953,11053,2,1.7,9036.0,8810.0,2
Ruby Mtns & NE Nevada,NV,continental,6500,10000,11,10.0,7866.0,7900.0,10
Spring Mtns (Lee Canyon),NV,continental,8510,11290,4,4.0,8723.0,8760.0,3
Selkirks (Schweitzer),ID,transitional,4000,6400,9,7.2,5319.0,5020.0,8
Coeur d'Alenes (Silver/Lookout),ID+MT,transitional,4100,6300,8,6.3,5055.0,5225.0,7
Missoula ranges (Montana Snowbowl),MT,transitional,5000,7600,7,6.2,6013.0,6110.0,5
Bitterroots (Lost Trail),MT+ID,transitional,6400,8000,13,10.8,7000.0,7190.0,5
Whitefish & Flathead Range,MT,transitional,4464,6817,12,10.9,5443.0,5620.0,10
Bridger Range (Bridger Bowl),MT,continental,6100,8700,6,5.2,7156.0,7125.0,6
Madison & Gallatin (Big Sky),MT,continental,6800,11166,10,9.2,8173.0,8005.0,10
Beartooth & Absaroka (Red Lodge),MT+WY,continental,7016,9416,14,12.4,8101.0,8320.0,10
Sawtooth & Smoky (Sun Valley),ID,intermountain,5750,9150,21,18.6,7514.0,7590.0,18
W Central Idaho (Brundage/Tamarack),ID,intermountain,5840,7640,11,9.9,5937.0,6170.0,6
Tetons (Jackson/Targhee),WY+ID,intermountain,6300,10450,11,9.3,7874.0,7880.0,11
Wind River Range,WY,continental,7000,10000,27,23.7,8956.0,8880.0,24
Bighorn Mtns (Meadowlark),WY,continental,7500,9500,15,13.4,8716.0,8560.0,12
Snowy Range & Sierra Madre,WY,continental,8798,9663,22,18.7,9475.0,9285.0,7
Wasatch (Alta/Snowbird/Park City),UT,intermountain,6800,11000,30,25.2,8173.0,8125.0,28
Uinta Mtns,UT,continental,8000,11000,30,27.9,9345.0,9170.0,26
Tushar Mtns (Eagle Point),UT,continental,9000,10600,11,9.4,9359.0,9230.0,7
Markagunt (Brian Head),UT,continental,9600,10970,13,9.9,9123.0,8680.0,3
Park Range (Steamboat),CO,continental,6900,10568,19,16.5,9355.0,9240.0,17
Front Range (Winter Park/Loveland/A-Basin),CO,continental,9000,13050,26,22.2,10403.0,10465.0,22
Gore & Tenmile (Vail/Summit/Copper),CO,continental,8120,12998,25,22.5,10388.0,10540.0,25
Elk Mtns (Aspen/Crested Butte),CO,continental,7945,12162,15,13.8,10139.0,10190.0,15
San Juans (Telluride/Purgatory),CO,continental,8725,13150,23,21.6,10381.0,10660.0,23
S San Juans (Wolf Creek),CO,continental,10300,11904,16,12.4,10970.0,11090.0,12
N Sangre de Cristo (Taos),NM+CO,continental,9200,12481,13,11.0,10169.0,10210.0,12
S Sangre de Cristo (Santa Fe),NM,continental,10350,12075,8,5.9,10371.0,9480.0,3
Jemez (Pajarito),NM,continental,8500,10441,10,8.2,9514.0,9425.0,5
Sacramento Mtns (Ski Apache),NM,continental,9600,11500,1,1.0,10250.0,10250.0,1
San Francisco Peaks (AZ Snowbowl),AZ,continental,9200,11500,8,4.8,8422.0,7425.0,1
White Mtns AZ (Sunrise Park),AZ,continental,9200,11100,9,7.9,8673.0,8400.0,2
Black Hills (Terry Peak),SD,continental,5800,7064,3,2.9,6360.0,6150.0,3
