stationTriplet,region,state,states,climate,km,elevation,elev_gap_ft,weight,base_ft,summit_ft
1070:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,35.2,1910.0,0.0,0.704,250,2750
953:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,69.8,240.0,10.0,0.2513,250,2750
1332:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,49.6,170.0,80.0,0.4969,250,2750
1071:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,58.1,50.0,200.0,0.3785,250,2750
956:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,40.4,1070.0,0.0,0.6303,250,2750
946:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,23.3,2400.0,0.0,0.8572,250,2750
1035:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,45.5,2010.0,0.0,0.5558,250,2750
1103:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,1.5,1500.0,0.0,0.9994,250,2750
1002:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,67.9,220.0,30.0,0.2706,250,2750
955:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,45.8,1340.0,0.0,0.5522,250,2750
954:AK:SNTL,Chugach (Alyeska),AK,AK,maritime,21.6,1860.0,0.0,0.8756,250,2750
990:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,30.2,3630.0,0.0,0.7723,3500,5089
1080:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,35.2,5850.0,761.0,0.5754,3500,5089
1345:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,58.5,3360.0,140.0,0.3766,3500,5089
998:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,16.7,5280.0,191.0,0.9126,3500,5089
910:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,25.6,3050.0,450.0,0.7738,3500,5089
991:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,45.0,1680.0,1820.0,0.1781,3500,5089
999:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,10.7,3520.0,0.0,0.9678,3500,5089
1011:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,19.6,4940.0,0.0,0.8972,3500,5089
817:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,61.8,4310.0,0.0,0.339,3500,5089
909:WA:SNTL,North Cascades (Mt Baker),WA,WA,maritime,9.0,4040.0,0.0,0.9771,3500,5089
908:WA:SNTL,Central Cascades (Stevens/Snoqualmie),WA,WA,maritime,39.6,3500.0,0.0,0.6792,3000,5845
352:WA:SNTL,Central Cascades (Stevens/Snoqualmie),WA,WA,maritime,50.6,4240.0,0.0,0.5319,3000,5845
