metric,metric_label,region,window,states,climate,n_winters,n_stations,r,r2,signed_r2,bh_r_mean,bh_r_sd,bh_r2_mean,bh_r2_sd,sig_2sigma,sig_2sigma_cal,p_perm,mean_nino,mean_nina,n_nino,n_nina,r2_phase,r2_index,r2_strength_gain,r2_within_nino,r2_within_nina,slope_within_nino,fdr_significant,n_tests
big_storm_days,Powder days per 30 (>= 6 in of new snow),Missoula ranges (Montana Snowbowl),Midwinter,MT,transitional,46,7,-0.5601898793241676,0.3138127008972255,-0.3138127008972255,-0.5608863097689685,0.03925900734736494,0.3161347221441517,0.04403967951251268,True,True,0.0001999600079984003,-0.5125340150754805,0.46437451602833213,15,16,0.3536855935715435,0.3138127008972255,-0.03987289267431798,0.04850977278008456,0.007418086163972914,-0.1465864257304412,True,944
mean_swe,Base (mean SWE in window),Bitterroots (Lost Trail),Spring,MT+ID,transitional,59,12,-0.4581193567972669,0.20987334507234154,-0.20987334507234154,-0.4592431436891151,0.04036586525728929,0.21253366810343086,0.03707549371697753,True,True,0.0001999600079984003,-0.4589068328977975,0.533907609223922,20,22,0.19730194768702025,0.20987334507234154,0.012571397385321287,1.4488066382610264e-05,0.0689862806762427,-0.004643385592630534,True,944
days_with_base,Days per 30 with a skiable base,S Sangre de Cristo (Santa Fe),Spring,NM,continental,46,4,0.5352475394647541,0.28648992850307353,0.28648992850307353,0.5355777379717398,0.05551323837480792,0.2899252330457838,0.05946330927253121,True,True,0.0001999600079984003,0.6407375868571581,-0.3193998206367691,15,16,0.2769762230334628,0.28648992850307353,0.009513705469610723,0.07334006069811497,0.03330121017931678,0.21857190967588433,True,944
mean_swe,Base (mean SWE in window),Missoula ranges (Montana Snowbowl),Spring,MT,transitional,46,7,-0.5198481495908532,0.2702420986330341,-0.2702420986330341,-0.5210438195546224,0.03981050557186924,0.2730715382499578,0.04148603576313466,True,True,0.0003999200159968006,-0.6844443045372084,0.3564761076785038,15,16,0.2510053488159296,0.2702420986330341,0.019236749817104493,0.03672104254511946,0.12899880454349913,-0.14729684789591788,True,944
days_with_base,Days per 30 with a skiable base,Missoula ranges (Montana Snowbowl),Spring,MT,transitional,46,4,-0.5718992861816337,0.32706879353506213,-0.32706879353506213,-0.5721324450037016,0.043650586262132494,0.3292409083069416,0.049947833287997706,True,True,0.0003999200159968006,-0.5397753857215869,0.3480149923766249,15,16,0.31050934966456234,0.32706879353506213,0.01655944387049979,0.03668771171788339,0.12376902460984607,-0.2092352422805123,True,944
mean_swe,Base (mean SWE in window),Mt Hood,Spring,OR,maritime,48,10,-0.48437763457960703,0.23462169288093532,-0.23462169288093532,-0.4847025618815122,0.053142768600521514,0.23776072734902973,0.05151687217229832,True,True,0.0005998800239952009,-0.5530885008848343,0.5852924339117279,16,16,0.256676101596949,0.23462169288093532,-0.022054408716013663,0.030964788708819326,0.45917533651277254,0.192495117063363,True,944
mean_swe,Base (mean SWE in window),Jemez (Pajarito),Spring,NM,continental,46,7,0.4825273470563014,0.23283264065719234,0.23283264065719234,0.48277655622337895,0.06102764848580547,0.2367975771186124,0.05892543594077614,True,True,0.0007998400319936012,0.6420474958659751,-0.25988671364129784,15,16,0.2513809786813591,0.23283264065719234,-0.018548338024166777,0.027380690956307734,0.0760353190924403,0.17564700267942465,True,944
new_snow_in_total,Total new snow in the window (in),Missoula ranges (Montana Snowbowl),Midwinter,MT,transitional,46,7,-0.46196082189881876,0.21340780096943215,-0.21340780096943215,-0.4625020781462987,0.047342555282517594,0.21614948983032323,0.043792060405840834,True,True,0.0007998400319936012,-0.5549899996037947,0.31940047911117664,15,16,0.18059238010035805,0.21340780096943215,0.0328154208690741,0.02790377659755875,0.11461864964827087,-0.18577453419574858,True,944
storm_days,Storm days per 30 (>= 2 in of new snow),Central Cascades (Stevens/Snoqualmie),Spring,WA,maritime,45,19,-0.4912298484567163,0.24130676401480847,-0.24130676401480847,-0.4913417512283635,0.04392343620877649,0.2433459847485415,0.043162836133575105,True,True,0.0007998400319936012,-0.5184479085817908,0.3960141553522746,15,16,0.23590213422766904,0.24130676401480847,0.005404629787139431,0.0010612955340898941,0.08220122147412694,-0.027765984172972664,True,944
new_snow_in_total,Total new snow in the window (in),Bighorn Mtns (Meadowlark),Holidays,WY,continental,48,13,-0.49768974639579777,0.2476950836675135,-0.2476950836675135,-0.4972132397678963,0.05643690683973467,0.2504061302541244,0.05612235458452684,True,True,0.0007998400319936012,-0.5684924581203639,0.2788777964780533,16,16,0.28443914703235695,0.2476950836675135,-0.036744063364843454,0.017613513706330408,0.2366262785706273,-0.1428633527634028,True,944
