region,window,metric,metric_label,unit,n_winters,all_winters,n_nino,mean_nino,n_nina,mean_nina,n_neutral,mean_neutral,nino_minus_all,nina_minus_all,nino_minus_nina,pct_change_nino,pct_change_nina,r2,p_perm,n_test
Selkirk & Cabinet (Schweitzer/Silver),Spring,mean_depth_in,Average base (snow depth),in,25,77.25138141191829,9,63.54539506958534,9,91.17934987828052,7,76.96597582388065,-13.705986342332949,13.92796846636223,-27.63395480869518,-17.74205987236676,18.02941023422713,0.3419353155853697,0.0021995600879824,25
Whitefish & Flathead Range,Spring,mean_depth_in,Average base (snow depth),in,25,60.38421334790159,9,51.51428522341784,9,67.51438326126723,7,62.62104533362488,-8.86992812448375,7.130169913365641,-16.00009803784939,-14.689150744384069,11.80800331418646,0.341918535012308,0.0025994801039792,25
Bitterroot & Lolo (Montana Snowbowl),Spring,mean_swe_in,Average base (snow water equivalent),in,59,18.735097838790743,20,15.382184995385902,22,21.03014610383964,17,19.7096387233214,-3.352912843404841,2.2950482650488944,-5.647961108453735,-17.896425587181533,12.24999348707446,0.2763740545740337,0.0001999600079984,59
Central Cascades (Stevens/Snoqualmie),Spring,storm_days_per_window,Storm days (>= 2 in of new snow),days,45,8.674658120825233,15,6.447609176988597,16,10.7657028387077,14,8.671016597355957,-2.2270489438366363,2.0910447178824665,-4.318093661719103,-25.67304570182616,24.105211856851163,0.2565066077581561,0.0005998800239952,45
Bighorn Mtns,Holidays,new_snow_in_total,Total new snow in the window,in,48,12.341152967408078,16,8.481423812811508,16,14.275825952135609,16,14.266209137277125,-3.85972915459657,1.9346729847275304,-5.7944021393241005,-31.275271968427763,15.6765983683764,0.2431362426277766,0.0003999200159968,48
White Mtns AZ (Sunrise Park),Spring,mean_swe_in,Average base (snow water equivalent),in,46,4.279004875735714,15,6.256678898407261,16,2.7387957635415834,15,3.9442205727379007,1.977674022671548,-1.5402091121941304,3.517883134865678,46.21808294461256,-35.99456315013695,0.2394710328193383,0.0011997600479904,46
Bitterroot & Lolo (Montana Snowbowl),Spring,days_with_base_per_window,Days with a skiable base,days,59,30.31684337051925,20,25.781803473868692,22,34.248487038803326,17,30.56417497232876,-4.535039896650556,3.9316436682840745,-8.46668356493463,-14.958812964876568,12.968512652301028,0.2387475337402528,0.0003999200159968,56
Jemez & N New Mexico,Spring,mean_swe_in,Average base (snow water equivalent),in,46,7.235258991334843,15,9.632932421650084,16,5.946961033473128,15,6.211770049405425,2.3976734303152414,-1.2882979578617144,3.685971388176956,33.138736749945856,-17.80583057779435,0.236499838546324,0.0003999200159968,46
Mt Hood,Spring,mean_swe_in,Average base (snow water equivalent),in,48,27.183189381061,16,20.784725932391623,16,33.33729756316699,16,27.427544647624394,-6.3984634486693786,6.15410818210599,-12.552571630775368,-23.53831023642612,22.639389719271367,0.2351486522735534,0.0005998800239952,48
Park Range (Steamboat),Holidays,storm_days_per_window,Storm days (>= 2 in of new snow),days,47,4.270221524194568,16,2.720749737553291,16,5.41740319244083,15,4.699330983815916,-1.549471786641277,1.1471816682462617,-2.6966534548875387,-36.28551300821641,26.86468750500335,0.2250252134544826,0.0011997600479904,47
Central Cascades (Stevens/Snoqualmie),Spring,new_snow_in_total,Total new snow in the window,in,45,51.32655806570553,15,38.884508899637645,16,62.018378811312346,14,52.43810132008476,-12.442049166067882,10.69182074560682,-23.1338699116747,-24.240957576271203,20.83097162276052,0.2205256714696429,0.0013997200559888,45
Jemez & N New Mexico,Early season,new_snow_in_total,Total new snow in the window,in,46,19.68858651787075,15,25.283946859697902,16,15.765895459004817,15,18.27742997216725,5.595360341827153,-3.922691058865935,9.518051400693087,28.41930951593914,-19.92368042929554,0.2187654657591984,0.0007998400319936,46
Bitterroot & Lolo (Montana Snowbowl),Midwinter,new_snow_in_total,Total new snow in the window,in,59,57.98453042988305,20,45.69513330900135,22,67.65700292777967,17,59.925327339524735,-12.289397120881702,9.67247249789662,-21.961869618778323,-21.194268591590088,16.68112585578824,0.2121452478002013,0.0005998800239952,59
