region,window,metric,phase,strength,n_winters,mean,all_winters,diff,pct_change
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,El Nino,moderate,4,0.7091228061952647,1.1179725446452495,-0.40884973844998485,-36.57064213323051
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,El Nino,strong,3,0.8366636496150419,1.1179725446452495,-0.2813088950302076,-25.162415336368692
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,El Nino,very strong,3,0.7014600420891366,1.1179725446452495,-0.41651250255611294,-37.25605825930895
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,El Nino,weak,8,1.3510708931693873,1.1179725446452495,0.2330983485241378,20.85009597423554
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,La Nina,moderate,4,1.4202222985240818,1.1179725446452495,0.30224975387883224,27.035525633121956
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,La Nina,strong,6,1.9201830761989536,1.1179725446452495,0.802210531553704,71.75583473816508
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,La Nina,weak,8,0.9424408393608326,1.1179725446452495,-0.17553170528441697,-15.700895887395514
Beartooth & Absaroka (Red Lodge),Early season,big_storm_days_per_window,Neutral,neutral,16,0.9512300441302917,1.1179725446452495,-0.16674250051495787,-14.914722308128587
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,El Nino,moderate,4,0.19799358010733822,0.43048831804464227,-0.23249473793730405,-54.00721185497861
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,El Nino,strong,3,0.08203763812767166,0.43048831804464227,-0.3484506799169706,-80.94312094221236
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,El Nino,very strong,3,0.4688233405996239,0.43048831804464227,0.03833502255498161,8.905008788416465
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,El Nino,weak,8,0.42709589193499975,0.43048831804464227,-0.0033924261096425212,-0.7880413863613186
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,La Nina,moderate,4,0.5589576791401618,0.43048831804464227,0.12846936109551954,29.842705530094566
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,La Nina,strong,6,0.45077192007562333,0.43048831804464227,0.020283602030981063,4.711765959901756
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,La Nina,weak,8,0.45096740961525816,0.43048831804464227,0.020479091570615893,4.7571770736162415
Beartooth & Absaroka (Red Lodge),Holidays,big_storm_days_per_window,Neutral,neutral,16,0.5253971843961468,0.43048831804464227,0.09490886635150453,22.0467925314671
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,El Nino,moderate,4,1.5335423076273853,1.1795637869998097,0.3539785206275756,30.00927330330401
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,El Nino,strong,3,0.5209204622119891,1.1795637869998097,-0.6586433247878206,-55.83787261416892
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,El Nino,very strong,3,0.7150887813186881,1.1795637869998097,-0.46447500568112154,-39.37684513548028
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,El Nino,weak,8,0.7541437763976995,1.1795637869998097,-0.4254200106021102,-36.065875817038695
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,La Nina,moderate,4,1.366960819019067,1.1795637869998097,0.18739703201925728,15.88697737965463
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,La Nina,strong,6,1.2338841997830758,1.1795637869998097,0.05432041278326616,4.605127198879913
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,La Nina,weak,8,1.5161339727367513,1.1795637869998097,0.33657018573694164,28.533445113044657
Beartooth & Absaroka (Red Lodge),Midwinter,big_storm_days_per_window,Neutral,neutral,16,1.1793490231237,1.1795637869998097,-0.000214763876109636,-0.018207059124448234
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,El Nino,moderate,4,1.0746614128514425,1.0012620184568253,0.07339939439461718,7.330687975934861
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,El Nino,strong,3,1.1992541029868333,1.0012620184568253,0.19799208453000805,19.77425298076914
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,El Nino,very strong,3,0.9654502170987111,1.0012620184568253,-0.035811801358114126,-3.5766663169055724
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,El Nino,weak,8,0.6968378553203278,1.0012620184568253,-0.30442416313649745,-30.404045846629135
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,La Nina,moderate,4,0.867394537603607,1.0012620184568253,-0.1338674808532183,-13.369875056235413
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,La Nina,strong,6,0.8873563965498162,1.0012620184568253,-0.11390562190700904,-11.376205209757558
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,La Nina,weak,8,0.8338743507928976,1.0012620184568253,-0.16738766766392765,-16.717668759862725
Beartooth & Absaroka (Red Lodge),Spring,big_storm_days_per_window,Neutral,neutral,16,1.112364278229272,1.0012620184568253,0.1111022597724467,11.096222339850742
Bighorn Mtns,Early season,big_storm_days_per_window,El Nino,moderate,4,0.5948684416149465,0.3299968570858894,0.26487158452905707,80.26488096525054
Bighorn Mtns,Early season,big_storm_days_per_window,El Nino,strong,3,0.23827203918656614,0.3299968570858894,-0.09172481789932324,-27.795664088840006
Bighorn Mtns,Early season,big_storm_days_per_window,El Nino,very strong,3,0.34000338713669703,0.3299968570858894,0.01000653005080765,3.032310713251192
Bighorn Mtns,Early season,big_storm_days_per_window,El Nino,weak,6,0.14564190050246784,0.3299968570858894,-0.18435495658342155,-55.86567042226068
Bighorn Mtns,Early season,big_storm_days_per_window,La Nina,moderate,4,0.2610695277088624,0.3299968570858894,-0.068927329377027,-20.887268438161836
