region,window,metric,metric_label,n_total,test,n,r,r2,p,min_detectable_r,fdr_significant,n_tests
Central Oregon (Mt Bachelor),Midwinter,mean_swe,Base (mean SWE in window),46,within_nina,16,-0.6978443989787259,0.4869868051859791,0.0021995600879824036,0.6509928978614332,False,2619
Mt Hood,Spring,mean_swe,Base (mean SWE in window),48,within_nina,16,-0.677624775604296,0.45917533651277254,0.003799240151969606,0.6509928978614332,False,2619
Sawtooth & Smoky (Sun Valley),Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),46,nested,46,,0.1781101759199415,0.004324266046755176,0.40301026636269627,False,2619
Central Oregon (Mt Bachelor),Spring,mean_swe,Base (mean SWE in window),46,within_nina,16,-0.6551654535466692,0.4292417715210128,0.004399120175964807,0.6509928978614332,False,2619
Mt Hood,Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nina,16,-0.6561150303924138,0.4304869331068381,0.004599080183963208,0.6509928978614332,False,2619
Mt Hood,Midwinter,new_snow_in_total,Total new snow in the window (in),48,within_nina,16,-0.6709701107661991,0.4502008895416054,0.0057988402319536095,0.6509928978614332,False,2619
Tushar Mtns (Eagle Point),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),47,within_nina,16,0.6192364384634204,0.3834537667208614,0.007798440311937612,0.6509928978614332,False,2619
S Sangre de Cristo (Santa Fe),Holidays,days_with_base,Days per 30 with a skiable base,30,nested,30,,0.22938270438981276,0.009924119342070825,0.49235588997361723,False,2619
Wind River Range,Spring,big_storm_days,Powder days per 30 (>= 6 in of new snow),48,within_nino,16,0.6241647688144836,0.3895816586292377,0.010797840431913617,0.6509928978614332,False,2619
Tushar Mtns (Eagle Point),Spring,storm_days,Storm days per 30 (>= 2 in of new snow),47,nested,47,,0.141715628266183,0.010810145856378184,0.39891242123069554,False,2619
Mt Hood,Midwinter,mean_swe,Base (mean SWE in window),48,within_nina,16,-0.6290719946153773,0.39573157440936935,0.010997800439912017,0.6509928978614332,False,2619
N Sangre de Cristo (Taos),Midwinter,big_storm_days,Powder days per 30 (>= 6 in of new snow),47,within_nina,16,-0.6431280820689572,0.4136137299456954,0.010997800439912017,0.6509928978614332,False,2619
