stationTriplet,n,r,p,stationId,stateCode,networkCode,name,countyName,huc,elevation,latitude,longitude,beginDate,endDate,p_perm,fdr_significant
1000:OR:SNTL,26,0.027078481544179852,0.8955326047712994,1000,OR,SNTL,Annie Springs,Klamath,180102030101,6020.0,42.87007,-122.16518,2000-09-01 00:00,2100-01-01 00:00,0.9030484757621189,False
1001:AK:SNTL,28,-0.2670958498990932,0.16943705764706923,1001,AK,SNTL,Long Lake,Juneau,190102060505,840.0,58.186,-133.83217,1966-10-01 00:00,2100-01-01 00:00,0.1634182908545727,False
1002:AK:SNTL,16,-0.34346502147903246,0.1927554651951897,1002,AK,SNTL,Point Mackenzie,Matanuska-Susitna,190204010805,220.0,61.38949,-150.02189,1983-10-01 00:00,2015-08-28 00:00,0.1969015492253873,False
1003:AK:SNTL,38,-0.09621939633627848,0.5655223161919547,1003,AK,SNTL,Mcneil Canyon,Kenai Peninsula,190203010806,1350.0,59.74521,-151.25839,1985-10-01 00:00,2100-01-01 00:00,0.5622188905547226,False
1005:CO:SNTL,26,0.2178166379710345,0.28510175905099944,1005,CO,SNTL,Ute Creek,Costilla,130100020604,10720.0,37.6148,-105.37322,2000-08-16 00:00,2100-01-01 00:00,0.2783608195902049,False
1006:NV:SNTL,26,-0.016531429779092624,0.9361150652499944,1006,NV,SNTL,Lewis Peak,Lander,160401070903,7370.0,40.3572,-116.8647,2000-10-01 00:00,2100-01-01 00:00,0.9325337331334332,False
1008:MT:SNTL,25,-0.25600830650593526,0.21674858530412788,1008,MT,SNTL,Onion Park,Meagher,100301030801,7420.0,46.91348,-110.8536,1992-10-01 00:00,2100-01-01 00:00,0.20439780109945027,False
1009:MT:SNTL,25,-0.2656547790258883,0.19932356715919036,1009,MT,SNTL,Stringer Creek,Meagher,100301030801,6550.0,46.9269,-110.90198,1992-10-01 00:00,2100-01-01 00:00,0.19290354822588707,False
1010:OR:SNTL,25,-0.06302955031911893,0.7647027685375128,1010,OR,SNTL,Crazyman Flat,Klamath,180102020101,6190.0,42.6381,-120.94917,2001-09-01 00:00,2100-01-01 00:00,0.7736131934032984,False
1011:WA:SNTL,24,-0.4035925316510552,0.050494427571217734,1011,WA,SNTL,MF Nooksack,Whatcom,171100040303,4940.0,48.82441,-121.92947,2002-10-01 00:00,2100-01-01 00:00,0.047476261869065464,False
1012:WA:SNTL,24,-0.3143453588702969,0.13465780293511467,1012,WA,SNTL,Swift Creek,Skamania,170800020304,4440.0,46.1638,-122.18402,2001-10-01 00:00,2100-01-01 00:00,0.12993503248375812,False
1013:UT:SNTL,25,-0.06464103049109804,0.7588590560720457,1013,UT,SNTL,Temple Fork,Cache,160102030303,7420.0,41.793,-111.54605,2001-11-05 00:00,2100-01-01 00:00,0.7591204397801099,False
1014:CO:SNTL,25,0.07072346064349398,0.7369203071754289,1014,CO,SNTL,Middle Fork Camp,Grand,140100010402,8960.0,39.79565,-106.02802,2001-09-19 00:00,2100-01-01 00:00,0.7436281859070465,False
1015:WY:SNTL,25,-0.017380743798408593,0.9342805083826429,1015,WY,SNTL,Sage Creek Basin,Carbon,101800020802,7830.0,41.40107,-107.2574,2001-10-01 00:00,2100-01-01 00:00,0.9460269865067467,False
1017:NM:SNTL,25,0.3429235606640866,0.09331541362519183,1017,NM,SNTL,Vacas Locas,Rio Arriba,130202020102,9350.0,36.02653,-106.81361,2001-10-01 00:00,2100-01-01 00:00,0.095952023988006,False
1030:CO:SNTL,24,-0.09794241612466648,0.6488928316513403,1030,CO,SNTL,Arapaho Ridge,Grand,140100010604,10960.0,40.35098,-106.38141,2002-08-01 00:00,2100-01-01 00:00,0.6466766616691654,False
1031:CO:SNTL,24,-0.19957349936161548,0.3498058446664713,1031,CO,SNTL,Never Summer,Jackson,101800010401,10300.0,40.40392,-105.95567,2002-09-01 00:00,2100-01-01 00:00,0.3263368315842079,False
1032:CO:SNTL,24,0.07459245923367898,0.7290404642258023,1032,CO,SNTL,Rawah,Jackson,101800010603,9100.0,40.70794,-106.00727,2002-09-01 00:00,2100-01-01 00:00,0.7251374312843578,False
